episode,reward,steps,mastery
316,3.931495680507214,132,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
317,4.147633055466577,54,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
318,0.9954426507025348,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
319,4.137597398227081,35,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
320,4.009794934946695,116,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
321,4.012377822103735,123,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
322,0.931938983105647,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
323,0.9840311038511576,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
324,3.8968300432628893,275,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
325,3.931738748369389,144,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
326,4.015886264634901,214,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
